Software Version:	2.0.6470.17062
Unit SN:	AIO-M72-0210
Spectrometer SN:	5335
Date:	10/23/2018 10:38:33 AM
Data Line Index:	25
Spectral Points:	1941
Integration time (ms):	1000
Averages:	20
Delay (ms):	0
Sequence Number:	1
Processing:	dark subtract
Laser Power (mW):	305
Laser Current (mA):	741
Laser Diode Temp (C):	25
Laser Case Temp (C):	30.5
System Temp (C):	31.6
Spectrometer Temp (C):	28.6
CCD Temp (C):	0
Secondary Temp (C):	20.006
Heatsink Temp (C):	28.857
CCDPCB Temp (C):	47.023
SecondaryPCB Temp (C):	37.997

Wavelength	RamanShift	Raw Counts	Dark Subtracted
884.8475	1431.3286	1882.85	658.4
884.991	1433.161	1899.75	664.45
885.1345	1434.9925	1915.95	658.1
885.2779	1436.8233	1888.45	657.65
885.4214	1438.6534	1878.45	658.4
885.5648	1440.4827	1869.85	655.35
885.7082	1442.3113	1900.15	650.7
885.8516	1444.1391	1870.9	646.6
885.995	1445.9662	1866.9	644.8
886.1384	1447.7925	1868.35	650.65
886.2818	1449.6181	1872.6	651.55
886.4252	1451.4429	1861.35	639.35
886.5685	1453.267	1853.8	637.3
886.7119	1455.0903	1845.75	632.2
886.8552	1456.9129	1855.3	631.95
886.9985	1458.7347	1861.2	632.25
887.1418	1460.5558	1849.6	634.9
887.2851	1462.3761	1843.35	627.3
887.4284	1464.1957	1849.65	634.85
887.5716	1466.0145	1845.45	624.1
