Software Version:	2.0.6470.17062
Unit SN:	AIO-M72-0210
Spectrometer SN:	5335
Date:	1/8/2018 11:54:58 AM
Data Line Index:	25
Spectral Points:	1941
Integration time (ms):	10000
Averages:	20
Delay (ms):	0
Sequence Number:	1
Processing:	dark subtract
Laser Power (mW):	300
Laser Current (mA):	753
Laser Diode Temp (C):	25
Laser Case Temp (C):	22.7
System Temp (C):	23.6
Spectrometer Temp (C):	20.7
CCD Temp (C):	-0.003
Secondary Temp (C):	20.006
Heatsink Temp (C):	18.895
CCDPCB Temp (C):	37.663
SecondaryPCB Temp (C):	25.024

Wavelength	RamanShift	Raw Counts	Dark Subtracted
864.804	1169.3975	9527.25	7834.3
864.9488	1171.3328	9540.05	7859.55
865.0935	1173.2675	9554.1	7839.5
865.2383	1175.2014	9570.8	7799
865.3831	1177.1346	9592.9	7775.75
865.5278	1179.067	9545.2	7767.7
865.6725	1180.9988	9632.9	7746.65
865.8173	1182.9297	9536.9	7734.8
865.962	1184.86	9566.2	7738.2
866.1067	1186.7895	9537.65	7747.15
866.2514	1188.7183	9546.9	7759.1
866.3961	1190.6463	9598.15	7756.3
866.5408	1192.5737	9634.3	7765.25
866.6855	1194.5002	9536.4	7750.65
866.8302	1196.4261	9473	7730.45
866.9749	1198.3512	9538.1	7728.4
867.1195	1200.2756	9516.85	7726.2
867.2642	1202.1992	9475.6	7672.4
867.4088	1204.1221	9435.75	7679.8
867.5535	1206.0443	9463.45	7673.5
867.6981	1207.9657	9687.6	7681.75
867.8428	1209.8864	9636.45	7672.1
867.9874	1211.8064	9612.65	7654.7
868.132	1213.7256	9597	7688.8
868.2766	1215.6441	9460.7	7671.15
868.4212	1217.5618	9487.65	7663
868.5658	1219.4789	9492.75	7663.65
868.7104	1221.3951	9473.9	7651.2
868.855	1223.3107	9400.65	7640.1
868.9996	1225.2255	9392.95	7621.85
869.1441	1227.1396	9420.3	7603.2
869.2887	1229.0529	9426.8	7593.8
869.4333	1230.9655	9392.15	7555.15
869.5778	1232.8773	9430.1	7566.25
869.7223	1234.7885	9437.7	7585.2
869.8669	1236.6989	9483.85	7587.5
870.0114	1238.6085	9437.25	7606.55
